SiteBlock,SiteBlock2,SiteIDLookUp,Description,RampMain,Direction,LaneNumbs,TotalCapacity,TMPCapacity,RampReroute,DataSource,Cluster,FreeSpeedM,ScM,NM,FreeSpeedD,ScD,ND,DetourPlan,DetourDistance,DetourSpeed,Distance,Speed ,DetourCap,DetourDelay
SH1_Northbound_between_Oteha_Valley_Road_Off-ramp_and_229,SH1 NB Oteha Valley Road Off ramp ,01N20400,SH1 Silverdale to Dairy Flat SC On Ramp NB,Mainline,NB,2,3600,1400,01N40410,Any2018-scaled,C1,100,65,1.5,60,25,1.2,SH1_60,18.5,90,13.2,105,1865.769231,4.79047619
SH1_Southbound_between_Greville_Road_Off-ramp_and_230,SH1 SB Greville Road Off ramp ,01N10412,SH1 Greville Rd Interchange SB,Mainline,SB,2,3600,1400,01N60412,Any2018-scaled,C2,100,35,1.5,65,25,1.1,SH1_65,6.5,40,3.4,105,1200,7.807142857
SH1_Northbound_between_Greville_Road_Off-ramp_and_231,SH1 NB Greville Road Off ramp ,01N29411,SH1 Albany Bus Station Off Ramp to Greville Rd On Ramp NB,Mainline,NB,3,5400,1400,01N40412,Any2018-scaled,C2,100,35,1.5,65,25,1.1,SH1_59,4.7,50,3.1,105,1200,3.868571429
SH1_Southbound_between_Upper_Harbour_Highway_Off-ramp_and_233,SH1 SB Upper Harbour Highway Off ramp ,01N10414,SH1 Upper Harbour Hwy Interchange SB,Mainline,SB,2,3600,1400,01N60414,Continuous Mar-19,C3,85,35,1.5,55,20,1.4,SH1_66,6.3,50,3.7,105,1200,5.445714286
SH1_Northbound_between_Upper_Harbour_Highway_Off-ramp_and_234,SH1 NB Upper Harbour Highway Off ramp ,01N20413,SH1 Upper Harbour Hwy On Ramp to Greville Rd Off Ramp NB,Mainline,NB,3,6000,1400,01N40414,Any2018-scaled,C2,100,35,1.5,65,25,1.1,SH1_58,6.8,40,3.8,105,1200,8.028571429
SH1_Southbound_between_Tristram_Avenue_Off-ramp_and_235,SH1 SB Tristram Avenue Off ramp ,01N10417,SH1 Tristram Ave Interchange SB,Mainline,SB,2,4000,1400,01N60417,Continuous Mar-19,C3,85,35,1.5,55,20,1.4,SH1_67,3.9,40,2.9,105,1200,4.192857143
SH1_Northbound_between_Tristram_Avenue_Off-ramp_and_236,SH1 NB Tristram Avenue Off ramp ,01N20415,SH1 Tristram Ave On Ramp to Upper Harbour Hwy Off Ramp NB,Mainline,NB,3,5400,1400,01N40417,Any2018-scaled,C3,85,35,1.5,55,20,1.4,SH1_57,7.5,50,3.9,105,1200,6.771428571
SH1_Southbound_between_Northcote_Road_Off-ramp_and_237,SH1 SB Northcote Road Off ramp ,01N10419,SH1 Northcote Rd Interchange SB,Mainline,SB,3,5400,1400,01N60419,Continuous Mar-19,C4,100,85,1.3,55,25,1.3,SH1_68,3.5,40,2.6,105,1200,3.764285714
SH1_Northbound_between_Northcote_Road_Off-ramp_and_238,SH1 NB Northcote Road Off ramp ,01N20418,SH1 Northcote Rd On Ramp to Tristram Ave Off Ramp NB,Mainline,NB,4,7200,1400,01N40419,Any2018-scaled,C4,100,85,1.3,55,25,1.3,SH1_56,3.7,40,3.1,105,1200,3.778571429
SH1_Southbound_between_Esmonde_Road_Off-ramp_and_239,SH1 SB Esmonde Road Off ramp ,01N10420,SH1 Esmonde Rd Interchange SB,Mainline,SB,3,5400,1400,01N60420,Any2018-scaled,C4,100,85,1.3,55,25,1.3,NA,NA,NA,NA,NA,NA,NA
SH1_Northbound_between_Esmonde_Road_Off-ramp_and_240,SH1 NB Esmonde Road Off ramp ,01N29419,SH1 Esmonde/Akoranga On Ramp to Northcote Rd Off Ramp to NB,Mainline,NB,4,7200,1400,01N40420,Website Mar-19,C4,100,85,1.3,55,25,1.3,SH1_55,3.1,40,2.7,105,1200,3.107142857
SH1_Southbound_between_Onewa_Road_Off-ramp_and_241,SH1 SB Onewa Road Off ramp ,01N10422,SH1 Onewa Rd Interchange SB,Mainline,SB,3,6300,1400,01N60422,Any2018-scaled,C4,100,85,1.3,55,25,1.3,NA,NA,NA,NA,NA,NA,NA
SH1_Northbound_between_Onewa_Road_Off-ramp_and_242,SH1 NB Onewa Road Off ramp ,01N20421,SH1 Onewa Rd On Ramp to Esmonde Rd Off Ramp NB,Mainline,NB,4,7200,1400,01N40422,Any2018-scaled,C4,100,85,1.3,55,25,1.3,SH1_54,4.6,40,4.2,105,1200,4.5
SH1_Northbound_between_Stafford_Road_Off-ramp_and_243,SH1 NB Stafford Road Off ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Southbound_between_Shelley_Beach_Road_Off-ramp_and_244,SH1 SB Shelley Beach Road Off ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
