SiteBlock,SiteBlock2,SiteIDLookUp,Description,RampMain,Direction,LaneNumbs,TotalCapacity,TMPCapacity,RampReroute,DataSource,Cluster,FreeSpeedM,ScM,NM,FreeSpeedD,ScD,ND,DetourPlan,DetourDistance,DetourSpeed,Distance,Speed ,DetourCap,DetourDelay
SH22_Southbound_between_Right_turn_onto_Blackbridge_Road_and_342,SH22 SB Right turn onto Blackbridge Road ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH22_Southbound_between_Right_turn_onto_Glenbrook_Road_and_343,SH22 SB Right turn onto Glenbrook Road ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH22_Northbound_between_Left_turn_onto_Glenbrook_Road_and_344,SH22 NB Left turn onto Glenbrook Road ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Westbound_between_Hobsonville_Road_eastbound_On-ramp_(SH18_link)_and_SH18-Trig_Rd_345,SH16 WB Hobsonville Road EB On ramp (SH18 link) SH18 Trig Rd ,01820012,SH18 Hobsonville Rd On Ramp to Trig Rd On Ramp EB,Mainline,EB,2,3600,1400,01669017,Website Mar-18,C12,105,85,1.1,55,25,1.1,SH16_163,4.7,80,3.9,105,1917.391304,1.296428571
SH16_Westbound_between_Hobsonville_Road_eastbound_On-ramp_(SH18_link)_and_345,SH16 WB Hobsonville Road EB On ramp (SH18 link) ,01820012,SH18 Hobsonville Rd On Ramp to Trig Rd On Ramp EB,Mainline,EB,2,3600,1400,01669017,Website Mar-18,C12,105,85,1.1,55,25,1.1,SH16_163,4.7,80,3.9,105,1917.391304,1.296428571
SH16_Eastbound_between_Hobsonville_Road_EB_On-ramp_and_346,SH16 EB Hobsonville Road EB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Eastbound_between_Hobsonville_Road_EB_On-ramp_and_346,SH16 EB Hobsonville Road EB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Eastbound_between_Royal_Road_eastbound_On-ramp_and_347,SH16 EB Royal Road EB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Eastbound_between_Royal_Road_eastbound_On-ramp_and_347,SH16 EB Royal Road EB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Eastbound_between_Lincoln_Road_eastbound_On-ramp_and_348,SH16 EB Lincoln Road EB On ramp ,01620012,SH16 Lincoln Rd Off Ramp to Te Atatu Rd On Ramp EB,Mainline,EB,3,5400,1400,01640013,Website Mar-19,C13,105,40,1.5,55,25,1.1,SH16_150,5.9,40,3,105,1200,7.135714286
SH16_Eastbound_between_Lincoln_Road_eastbound_On-ramp_and_348,SH16 EB Lincoln Road EB On ramp ,01620012,SH16 Lincoln Rd Off Ramp to Te Atatu Rd On Ramp EB,Mainline,EB,3,5400,1400,01640013,Website Mar-19,C13,105,40,1.5,55,25,1.1,SH16_150,5.9,40,3,105,1200,7.135714286
SH16_Eastbound_between_Lincoln_Road_eastbound_On-ramp_and_348,SH16 EB Lincoln Road EB On ramp ,01620012,SH16 Lincoln Rd Off Ramp to Te Atatu Rd On Ramp EB,Mainline,EB,3,5400,1400,01640013,Website Mar-19,C13,105,40,1.5,55,25,1.1,SH16_150,5.9,40,3,105,1200,7.135714286
SH16_Westbound_between_Lincoln_Road_WB_On-ramp_and_349,SH16 WB Lincoln Road WB On ramp ,01610013,SH16 Lincoln Rd Interchange WB,Mainline,WB,2,3600,1400,01660013,Any2018-scaled,C13,105,40,1.5,55,25,1.1,SH16_131,9.2,60,7.6,105,1200,4.857142857
SH16_Westbound_between_Lincoln_Road_WB_On-ramp_and_349,SH16 WB Lincoln Road WB On ramp ,01610013,SH16 Lincoln Rd Interchange WB,Mainline,WB,2,3600,1400,01660013,Any2018-scaled,C13,105,40,1.5,55,25,1.1,SH16_131,9.2,60,7.6,105,1200,4.857142857
SH16_Westbound_between_Te_Atatu_Road_Westbound_On-ramp_and_350,SH16 WB Te Atatu Road WB On ramp ,01610011,SH16 Te Atatu Rd Interchange WB,Mainline,WB,3,5400,1400,01660011,Any2018-scaled,C14,90,35,1.5,50,30,1.5,SH16_130,4.8,40,2.7,105,1200,5.657142857
SH16_Westbound_between_Te_Atatu_Road_Westbound_On-ramp_and_350,SH16 WB Te Atatu Road WB On ramp ,01610011,SH16 Te Atatu Rd Interchange WB,Mainline,WB,3,5400,1400,01660011,Any2018-scaled,C14,90,35,1.5,50,30,1.5,SH16_130,4.8,40,2.7,105,1200,5.657142857
SH16_Eastbound_between_Te_Atatu_Road_Eastbound_(loop)_On-ramp_and_351,SH16 EB Te Atatu Road EB (loop) On ramp ,01620010,SH16 Te Atatu Peninsula On Ramp to Patiki Rd Off Ramp EB,Mainline,EB,4,8800,1400,01640011,Website Mar-19,C14,90,35,1.5,50,30,1.5,SH16_151,14.8,40,6.2,105,1200,18.65714286
SH16_Eastbound_between_Te_Atatu_Road_Eastbound_(diamond)_On-ramp_and_352,SH16 EB Te Atatu Road EB (diamond) On ramp ,01620010,SH16 Te Atatu Peninsula On Ramp to Patiki Rd Off Ramp EB,Mainline,EB,4,8800,1400,01640011,Website Mar-19,C14,90,35,1.5,50,30,1.5,SH16_151,14.8,40,6.2,105,1200,18.65714286
SH16_Westbound_between_Patiki_Road_Westbound_On-ramp_and_353,SH16 WB Patiki Road WB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Eastbound_between_Rosebank_Road_Eastbound_On-ramp_and_354,SH16 EB Rosebank Road EB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Westbound_between_Great_North_Road_Westbound_On-ramp_and_355,SH16 WB Great North Road WB On ramp ,01619008,SH16 Great Nth Rd On Ramp to Rosebank Rd Off Ramp WB,Mainline,WB,5,9000,1400,01660008,Website Mar-19,C15,70,25,1.5,40,25,1.5,SH16_127,8.2,40,4.9,105,1200,9.5
SH16_Westbound_between_Great_North_Road_Westbound_On-ramp_and_355,SH16 WB Great North Road WB On ramp ,01619008,SH16 Great Nth Rd On Ramp to Rosebank Rd Off Ramp WB,Mainline,WB,5,9000,1400,01660008,Website Mar-19,C15,70,25,1.5,40,25,1.5,SH16_127,8.2,40,4.9,105,1200,9.5
SH16_Eastbound_between_Great_North_Road_Eastbound_On-ramp_and_356,SH16 EB Great North Road EB On ramp ,01620007,SH16 Great Nth Rd On Ramp to St Lukes Rd Off Ramp EB,Mainline,EB,4,7200,1400,01640008,Website Mar-19,C15,70,25,1.5,40,25,1.5,SH16_154,4,40,3.9,105,1200,3.771428571
SH16_Westbound_between_St_Lukes_Road_Westbound_On-ramp_and_357,SH16 WB St Lukes Road WB On ramp ,01610005,SH16 Newton Rd On Ramp to St Lukes Rd Off Ramp WB,Mainline,WB,4,7200,1400,01660006,Website Year2014,C15,70,25,1.5,40,25,1.5,SH16_126,4,40,3.8,105,1200,3.828571429
SH16_Westbound_between_St_Lukes_Road_Westbound_On-ramp_and_357,SH16 WB St Lukes Road WB On ramp ,01610005,SH16 Newton Rd On Ramp to St Lukes Rd Off Ramp WB,Mainline,WB,4,7200,1400,01660006,Website Year2014,C15,70,25,1.5,40,25,1.5,SH16_126,4,40,3.8,105,1200,3.828571429
SH16_Eastbound_between_Western_Springs_Eastbound_On-ramp_and_358,SH16 EB Western Springs EB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Eastbound_between_Western_Springs_Eastbound_On-ramp_and_358,SH16 EB Western Springs EB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Westbound_between_Newton_Road_Westbound_On-ramp_and_359,SH16 WB Newton Road WB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Westbound_between_Newton_Road_Westbound_On-ramp_and_359,SH16 WB Newton Road WB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Southbound_between_Symonds_St_Southbound_On-ramp_and_360,SH1 SB Symonds St SB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Eastbound_between_Grafton_Road_Eastbound_(loop)_On-ramp_and_361,SH16 EB Grafton Road EB (loop) On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Eastbound_between_Grafton_Road_Eastbound_(loop)_On-ramp_and_361,SH16 EB Grafton Road EB (loop) On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH18_Eastbound_between_Trig_Road_Eastbound_On-ramp_and_362,SH18 EB Trig Road EB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH18_Eastbound_between_Trig_Road_Eastbound_On-ramp_and_362,SH18 EB Trig Road EB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH18_Eastbound_between_Brigham_Creek_Road_Eastbound_On-ramp_and_363,SH18 EB Brigham Creek Road EB On ramp ,01820009,SH18 Brigham Creek Rd On Ramp to Squadron Dr On Ramp EB,Mainline,EB,2,3600,1400,01840010,Website Mar-18,C12,105,85,1.1,55,25,1.1,SH18_145,3.7,60,3.1,105,1200,1.928571429
SH18_Westbound_between_Brigham_Creek_Road_Westbound_On-ramp_and_364,SH18 WB Brigham Creek Road WB On ramp ,01810010,SH18 Brigham Creek Rd Interchange WB,Mainline,WB,2,3600,1400,01860010,Website Mar-18,C12,105,85,1.1,55,25,1.1,SH18_146,4.6,60,4.2,105,1200,2.2
SH18_Eastbound_between_Squadron_Drive_Eastbound_On-ramp_and_365,SH18 EB Squadron Drive EB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH18_Westbound_between_Tauhinu_Road_On-Ramp_and_366,SH18 WB Tauhinu Road On Ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH18_Eastbound_between_Greenhithe_Road_Eastbound_On-ramp_and_367,SH18 EB Greenhithe Road EB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH18_Eastbound_between_Greenhithe_Road_Eastbound_On-ramp_and_367,SH18 EB Greenhithe Road EB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH18_Eastbound_between_Albany_Highway_On-ramp_and_368,SH18 EB Albany Highway On ramp ,01820001,SH18 West of Paul Mathews Rd EB,Mainline,EB,2,3600,1400,01840002,Any2018-scaled,C11,100,85,1.3,60,20,1.1,SH18_113,3.644210982,NA,NA,NA,NA,NA
SH18_Eastbound_between_Albany_Highway_On-ramp_and_368,SH18 EB Albany Highway On ramp ,01820001,SH18 West of Paul Mathews Rd EB,Mainline,EB,2,3600,1400,01840002,Any2018-scaled,C11,100,85,1.3,60,20,1.1,SH18_113,3.644210982,NA,NA,NA,NA,NA
SH16_Westbound_between_Grafton_Road_Westbound_On-ramp_and_369,SH16 WB Grafton Road WB On ramp ,01610002,SH16 Southern SH1 Off Ramp to Wellesley St On Ramp WB,Mainline,WB,2,3600,1400,01660001,Website Mar-18,C5,95,70,1.1,55,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH16_Westbound_between_Grafton_Road_Westbound_On-ramp_and_369,SH16 WB Grafton Road WB On ramp ,01610002,SH16 Southern SH1 Off Ramp to Wellesley St On Ramp WB,Mainline,WB,2,3600,1400,01660001,Website Mar-18,C5,95,70,1.1,55,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH18_Eastbound_between_Paul_Matthews_Road_and_Upper_Harbour_Highway_370,SH18 EB Paul Matthews Road Upper Harbour Highway ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH18_Westbound_between_Albany_Highway_Westbound_On-ramp_and_371,SH18 WB Albany Highway WB On ramp ,01819001,SH18 West of Unsworth Dr WB,Mainline,WB,1,2400,1400,01860002,Any2018-scaled,C11,100,85,1.3,60,20,1.1,SH18_142,5.3,60,4.7,105,1917.391304,2.614285714
SH18_Westbound_between_Albany_Highway_Westbound_On-ramp_and_371,SH18 WB Albany Highway WB On ramp ,01819001,SH18 West of Unsworth Dr WB,Mainline,WB,1,2400,1400,01860002,Any2018-scaled,C11,100,85,1.3,60,20,1.1,SH18_142,5.3,60,4.7,105,1917.391304,2.614285714
SH18_Westbound_between_Exit_From_Carribean_Drive_and_372,SH18 WB Exit From Carribean Drive ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Southbound_between_Grand_Drive_Southbound_On-ramp_and_374,SH1 SB Gr Drive SB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Northbound_between_Grand_Drive_Northbound_On-ramp_and_375,SH1 NB Gr Drive NB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Northbound_between_Silverdale_Northbound_On-ramp_and_376,SH1 NB Silverdale NB On ramp ,01N20391,SH1 Silverdale On Ramp to Orewa Off Ramp NB,Mainline,NB,2,3600,1400,01N40398,Any2018-scaled,C1,100,65,1.5,60,25,1.2,SH1_61,17.7,60,13.2,105,1200,10.15714286
SH1_Southbound_between_Silverdale_Southbound_On-ramp_and_377,SH1 SB Silverdale SB On ramp ,01N10398,SH1 Silverdale Interchange SB,Mainline,SB,2,3600,1400,01N60398,Continuous Mar-19,C1,100,65,1.5,60,25,1.2,SH1_63,18.3,90,12.9,105,1865.769231,4.828571429
SH1_Northbound_between_Oteha_Valley_Road_Northbound_On-ramp_and_378,SH1 NB Oteha Valley Road NB On ramp ,01N20400,SH1 Silverdale to Dairy Flat SC On Ramp NB,Mainline,NB,2,3600,1400,01N40410,Any2018-scaled,C1,100,65,1.5,60,25,1.2,SH1_60,18.5,90,13.2,105,1865.769231,4.79047619
SH1_Northbound_between_Oteha_Valley_Road_Northbound_On-ramp_and_378,SH1 NB Oteha Valley Road NB On ramp ,01N20400,SH1 Silverdale to Dairy Flat SC On Ramp NB,Mainline,NB,2,3600,1400,01N40410,Any2018-scaled,C1,100,65,1.5,60,25,1.2,SH1_60,18.5,90,13.2,105,1865.769231,4.79047619
SH1_Southbound_between_Oteha_Valley_Road_Southbound_On-ramp_and_379,SH1 SB Oteha Valley Road SB On ramp ,01N10410,SH1 Oteha Valley Rd Interchange SB,Mainline,SB,2,3600,1400,01N60410,Any2018-scaled,C2,100,35,1.5,65,25,1.1,SH1_64,5.3,50,3.2,105,1200,4.531428571
SH1_Southbound_between_Oteha_Valley_Road_Southbound_On-ramp_and_379,SH1 SB Oteha Valley Road SB On ramp ,01N10410,SH1 Oteha Valley Rd Interchange SB,Mainline,SB,2,3600,1400,01N60410,Any2018-scaled,C2,100,35,1.5,65,25,1.1,SH1_64,5.3,50,3.2,105,1200,4.531428571
SH1_Northbound_between_Greville_Road_Northbound_On-ramp_and_380,SH1 NB Greville Road NB On ramp ,01N29411,SH1 Albany Bus Station Off Ramp to Greville Rd On Ramp NB,Mainline,NB,3,5400,1400,01N40412,Any2018-scaled,C2,100,35,1.5,65,25,1.1,SH1_59,4.7,50,3.1,105,1200,3.868571429
SH1_Southbound_between_Greville_Road_Southbound_On-ramp_and_381,SH1 SB Greville Road SB On ramp ,01N10412,SH1 Greville Rd Interchange SB,Mainline,SB,2,3600,1400,01N60412,Any2018-scaled,C2,100,35,1.5,65,25,1.1,SH1_65,6.5,40,3.4,105,1200,7.807142857
SH1_Southbound_between_Greville_Road_Southbound_On-ramp_and_381,SH1 SB Greville Road SB On ramp ,01N10412,SH1 Greville Rd Interchange SB,Mainline,SB,2,3600,1400,01N60412,Any2018-scaled,C2,100,35,1.5,65,25,1.1,SH1_65,6.5,40,3.4,105,1200,7.807142857
SH1_Northbound_between_Upper_Harbour_Highway_NB_On-ramp_and_382,SH1 NB Upper Harbour Highway NB On ramp ,01N20413,SH1 Upper Harbour Hwy On Ramp to Greville Rd Off Ramp NB,Mainline,NB,3,6000,1400,01N40414,Any2018-scaled,C2,100,35,1.5,65,25,1.1,SH1_58,6.8,40,3.8,105,1200,8.028571429
SH1_Northbound_between_Upper_Harbour_Highway_NB_On-ramp_and_382,SH1 NB Upper Harbour Highway NB On ramp ,01N20413,SH1 Upper Harbour Hwy On Ramp to Greville Rd Off Ramp NB,Mainline,NB,3,6000,1400,01N40414,Any2018-scaled,C2,100,35,1.5,65,25,1.1,SH1_58,6.8,40,3.8,105,1200,8.028571429
SH1_Southbound_between_Constellation_Drive_Southbound_On-ramp_and_383,SH1 SB Constellation Drive SB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Southbound_between_Constellation_Drive_Southbound_On-ramp_and_383,SH1 SB Constellation Drive SB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Northbound_between_Tristram_Avenue_Northbound_On-ramp_and_384,SH1 NB Tristram Avenue NB On ramp ,01N20415,SH1 Tristram Ave On Ramp to Upper Harbour Hwy Off Ramp NB,Mainline,NB,3,5400,1400,01N40417,Any2018-scaled,C3,85,35,1.5,55,20,1.4,SH1_57,7.5,50,3.9,105,1200,6.771428571
SH1_Northbound_between_Tristram_Avenue_Northbound_On-ramp_and_384,SH1 NB Tristram Avenue NB On ramp ,01N20415,SH1 Tristram Ave On Ramp to Upper Harbour Hwy Off Ramp NB,Mainline,NB,3,5400,1400,01N40417,Any2018-scaled,C3,85,35,1.5,55,20,1.4,SH1_57,7.5,50,3.9,105,1200,6.771428571
SH1_Southbound_between_Tristram_Avenue_Southbound_On-ramp_and_385,SH1 SB Tristram Avenue SB On ramp ,01N10417,SH1 Tristram Ave Interchange SB,Mainline,SB,2,4000,1400,01N60417,Continuous Mar-19,C3,85,35,1.5,55,20,1.4,SH1_67,3.9,40,2.9,105,1200,4.192857143
SH1_Southbound_between_Tristram_Avenue_Southbound_On-ramp_and_385,SH1 SB Tristram Avenue SB On ramp ,01N10417,SH1 Tristram Ave Interchange SB,Mainline,SB,2,4000,1400,01N60417,Continuous Mar-19,C3,85,35,1.5,55,20,1.4,SH1_67,3.9,40,2.9,105,1200,4.192857143
SH1_Northbound_between_Northcote_Road_Northbound_On-ramp_and_386,SH1 NB Northcote Road NB On ramp ,01N20418,SH1 Northcote Rd On Ramp to Tristram Ave Off Ramp NB,Mainline,NB,4,7200,1400,01N40419,Any2018-scaled,C4,100,85,1.3,55,25,1.3,SH1_56,3.7,40,3.1,105,1200,3.778571429
SH1_Northbound_between_Northcote_Road_Northbound_On-ramp_and_386,SH1 NB Northcote Road NB On ramp ,01N20418,SH1 Northcote Rd On Ramp to Tristram Ave Off Ramp NB,Mainline,NB,4,7200,1400,01N40419,Any2018-scaled,C4,100,85,1.3,55,25,1.3,SH1_56,3.7,40,3.1,105,1200,3.778571429
SH1_Southbound_between_Northcote_Road_SB_On-ramp_and_387,SH1 SB Northcote Road SB On ramp ,01N10419,SH1 Northcote Rd Interchange SB,Mainline,SB,3,5400,1400,01N60419,Continuous Mar-19,C4,100,85,1.3,55,25,1.3,SH1_68,3.5,40,2.6,105,1200,3.764285714
SH1_Northbound_between_Esmonde_Road_Northbound_On-ramp_(diamond)_and_388,SH1 NB Esmonde Road NB On ramp (diamond) ,01N29419,SH1 Esmonde/Akoranga On Ramp to Northcote Rd Off Ramp to NB,Mainline,NB,4,7200,1400,01N40420,Website Mar-19,C4,100,85,1.3,55,25,1.3,SH1_55,3.1,40,2.7,105,1200,3.107142857
SH1_Northbound_between_Esmonde_Road_Northbound_On-ramp_(loop)_and_389,SH1 NB Esmonde Road NB On ramp (loop) ,01N29419,SH1 Esmonde/Akoranga On Ramp to Northcote Rd Off Ramp to NB,Mainline,NB,4,7200,1400,01N40420,Website Mar-19,C4,100,85,1.3,55,25,1.3,SH1_55,3.1,40,2.7,105,1200,3.107142857
SH1_Southbound_between_Esmonde_Road_Southbound_On-ramp_and_390,SH1 SB Esmonde Road SB On ramp ,01N10420,SH1 Esmonde Rd Interchange SB,Mainline,SB,3,5400,1400,01N60420,Any2018-scaled,C4,100,85,1.3,55,25,1.3,NA,NA,NA,NA,NA,NA,NA
SH1_Northbound_between_Onewa_Road_Northbound_On-ramp_and_391,SH1 NB Onewa Road NB On ramp ,01N20421,SH1 Onewa Rd On Ramp to Esmonde Rd Off Ramp NB,Mainline,NB,4,7200,1400,01N40422,Any2018-scaled,C4,100,85,1.3,55,25,1.3,SH1_54,4.6,40,4.2,105,1200,4.5
SH1_Northbound_between_Onewa_Road_Northbound_On-ramp_and_391,SH1 NB Onewa Road NB On ramp ,01N20421,SH1 Onewa Rd On Ramp to Esmonde Rd Off Ramp NB,Mainline,NB,4,7200,1400,01N40422,Any2018-scaled,C4,100,85,1.3,55,25,1.3,SH1_54,4.6,40,4.2,105,1200,4.5
SH1_Southbound_between_Onewa_Road_Southbound_On-ramp_and_392,SH1 SB Onewa Road SB On ramp ,01N10422,SH1 Onewa Rd Interchange SB,Mainline,SB,3,6300,1400,01N60422,Any2018-scaled,C4,100,85,1.3,55,25,1.3,NA,NA,NA,NA,NA,NA,NA
SH1_Northbound_between_Curran_Street_Northbound_On-ramp_and_393,SH1 NB Curran Street NB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Northbound_between_Fanshawe_Street_Northbound_On-ramp_and_394,SH1 NB Fanshawe Street NB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Northbound_between_Fanshawe_Street_Northbound_On-ramp_and_394,SH1 NB Fanshawe Street NB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Southbound_between_Hobson_Street_Southbound_On-ramp_and_396,SH1 SB Hobson Street SB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Southbound_between_Hobson_Street_Southbound_On-ramp_and_396,SH1 SB Hobson Street SB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Westbound_between_Hobson_Street_Westbound_On-ramp_and_397,SH16 WB Hobson Street WB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH16_Westbound_between_Hobson_Street_Westbound_On-ramp_and_397,SH16 WB Hobson Street WB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Southbound_between_Khyber_Pass_Road_Southbound_On-ramp_and_398,SH1 SB Khyber Pass Road SB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Southbound_between_Khyber_Pass_Road_Southbound_On-ramp_and_398,SH1 SB Khyber Pass Road SB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Northbound_between_Gillies_Avenue_Northbound_On-ramp_and_399,SH1 NB Gillies Avenue NB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
SH1_Northbound_between_Gillies_Avenue_Northbound_On-ramp_and_399,SH1 NB Gillies Avenue NB On ramp ,02020004,SH20 Puhinui Rd Interchange SB,Mainline,SB,2,3600,1400,02040004,Any2018-scaled,C18,90,55,1.5,65,15,1.1,SH20_93,2,50,1.6,100,1200,1.44
