Site Block,SiteID LookUp,Description,Ramp/Mainline,SH,RS,RP,Direction,Number of Lane(s),Normal Total Capacity,Mon_Thu,Fri,Sat,Sun,Seasonal,Normal Capacity per Lane,TMP Capacity,Ramp reroute,Detour Plan Ref,DataSource
SH1_Southbound_between_South_Eastern_Highway_and_Mt_Wellington_Highway_11,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH1_Southbound_between_Mt_Wellington_Highway_and_Princes_Street_12,01N10438,SH1 Sth Eastern Hwy Off Ramp to Mt Wellington Hwy Off Ramp SB,Mainline,1N,431,6.82,SB,2,4800,4711.592248,4458.606504,4787.608992,3894.656963,0,2400,1400,01N60439,SH1_12,Any2018-scaled
SH1_Southbound_between_Princes_Street_and_East_Tamaki_Road_13,01N10441,SH1 Princes St Interchange SB,Mainline,1N,431,10.07,SB,3,6000,5194.630676,5783.071704,4913.630496,3854.901944,0,2000,1400,01N60441,SH1_13,Any2018-scaled
SH1_Southbound_between_East_Tamaki_Road_and_Redoubt_Road_14,01N10444,SH1 East Tamaki Rd Interchange SB,Mainline,1N,431,12.92,SB,3,5400,4409.909432,4612.43696,4127.399068,3148.703338,0,1800,1400,01N60444,SH1_14,Any2018-scaled
SH1_Southbound_between_Te_lrirangi_Drive_and_Redoubt_Road_15,01N10447,SH1 Te Irirangi Dr Off Ramp to Redoubt Rd Off Ramp SB,Mainline,1N,431,16.2,SB,3,5400,4403.139296,4656.637816,4245.572096,3033.42903,0,1800,1400,01N60447,SH1_15,Any2018-scaled
SH1_Southbound_between_Redoubt_Road_and_Takanini_On-Ramp_16,01N10448,SH1 Redoubt Rd Off Ramp to Southwestern Off Ramp SB,Mainline,1N,431,16.6,SB,3,5400,4207.712028,3441.543524,3102.910048,3047.015345,0,1800,1400,01N60448,SH1_16,Any2018-scaled
SH1_Southbound_between_Hill_Road_and_Takanini_On-Ramp_17,01N10452,SH1 Hill Rd Off Ramp to Takanini Off Ramp SB,Mainline,1N,448,4.15,SB,3,5400,4879.470252,4165.294988,4254.326744,4139.96246,0,1800,1400,01N60451,SH1_17,Website Year2014
SH1_Southbound_between_Takanini_Off-Ramp_and_Papakura_On-Ramp_18,01N10454,SH1 Takanini Interchange SB,Mainline,1N,448,5.61,SB,2,3600,3179.9,3161.6,2710.4,2432,0,1800,1400,01N60454,SH1_18,Website Year2014
SH1_Southbound_between_Papakura_Off-Ramp_and_Drury_On-Ramp_19,01N10458,SH1 Papakura Interchange SB,Mainline,1N,448,9.97,SB,2,3600,2504.5,2596,2720,2454,0,1800,1400,01N60458,SH1_19,Continuous Mar-19
SH1_Southbound_between_Drury_Off-Ramp_and_Ramarama_On-Ramp_20,01N10462,SH1 Drury Interchange SB,Mainline,1N,461,0,SB,2,3600,1542.709373,1846.431688,2354.693721,1761.739536,0,1800,1400,01N60462,SH1_20,Website Year2014
SH1_Southbound_between_Ramarama_Off-Ramp_and_Bombay_On-Ramp_21,01N10465,SH1 Ramarama Interchange SB,Mainline,1N,461,4.62,SB,2,3600,#N/A,#N/A,#N/A,#N/A,0,1800,1400,01N60465,SH1_21,Website Year2014
SH1_Southbound_between_Mill_Road_and_Beaver_Road_22,01N10471,SH1 Mill Rd Interchange SB,Mainline,1N,461,10.26,SB,2,3600,#N/A,#N/A,#N/A,#N/A,0,1800,1400,01N60471,SH1_22,Website Year2014
SH1_Southbound_between_Beaver_Road_and_Nikau_Road_23,01N10473,SH1 Beaver Rd Interchange SB,Mainline,1N,461,12.2,SB,2,3600,#N/A,#N/A,#N/A,#N/A,0,1800,1400,01N60473,SH1_23,Website Year2014
SH1_Southbound_between_Nikau_Road_and_Pokeno_On-Ramp_24,01N10475,SH1 Nikau Rd Interchange SB,Mainline,1N,461,13.48,SB,2,3600,1840.185325,2488.207235,2789.877898,2075.419311,0,1800,1400,01N60475,SH1_24,Any2018-scaled
SH1_Southbound_between_Razorback_Road_and_Pokeno_On-Ramp_25,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH1_Northbound_between_Pokeno_Off-Ramp_and_Helenslee_Road_26,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
