Ref,SH,Plan Number,Detour Distance (km),Detour Speed (km/hr),Normal Distance ,Normal Speed ,Urban Road Class,Minimum # lane for Urban Road,Rural Road Directional Split,Rural Road Roadway Width,Terrain Type,% of Heavy Vehicle,Other Manual Capacity Input?,Detour Travel Time (min/veh),Normal Travel Time (min/veh),Rural Road Directional Adjustement,Rural Road Roadway Width Adjustement,Rural Road % Heavy Vehicle Adjustement,Urban Road Capacity,Rural Road Capacity,Detour Capacity (veh/hr),Detour Delay (min/veh),,,(for Input tab),,(From detour),,,
SH1S_32,SH1S,32,7,50,5,105,Class I,1,,,,,,8.4,2.857142857,-,-,-,1200,-,1200,5.542857143,http://g.co/maps/juqxv,1 lane along GSR,1040461.33,01N40461,"Jasmine Lau:
closure between Drury On-Ramp and Papakura Off-Ramp NBD",,,
SH1S_33,SH1S,33,7.7,40,4.9,105,Class I,1,,,,,,11.55,2.8,-,-,-,1200,-,1200,8.75,http://g.co/maps/va34p,1 lane along GSR,1040458.31,01N40458,"Jasmine Lau:
closure between Papakur Off-Ramp and Takanini Off-Ramp NBD",,,
SH1S_34,SH1S,34,4.1,40,3.3,105,Class I,1,,,,,,6.15,1.885714286,-,-,-,1200,-,1200,4.264285714,http://g.co/maps/cqjrh,1 lane along GSR,1040453.89,01N40453,"Jasmine Lau:
closure between Takanini Off-Ramp and Hill Rd On-Ramp NBD",,,
SH1S_35,SH1S,35,6.6,40,6.5,105,Class I,1,,,,,,9.9,3.714285714,-,-,-,1200,-,1200,6.185714286,http://g.co/maps/hpjb3,1 lane along GSR,1040453.89,01N40453,"Jasmine Lau:
closure between Hill Rd On-Ramp and Manukau Off-Ramp NBD",,,
SH1S_36,SH1S,36,2.8,40,2.4,105,Class I,1,,,,,,4.2,1.371428571,-,-,-,1200,-,1200,2.828571429,http://g.co/maps/zbddw,1 lane RT from GSR to Redoubt on Ramp,1040448.2,01N40448,"Jasmine Lau:
closure between Redoubt Rd On-Ramp and Te Irirangi Dr On-Ramp NBD",,,
SH1S_37,SH1S,37,5.8,40,5.1,105,Class I,1,,,,,,8.7,2.914285714,-,-,-,1200,-,1200,5.785714286,http://g.co/maps/9jy35,1 lane RT from GSR to Tui,1040448.2,01N40448,"Jasmine Lau:
closure between Te Irirangi Dr On-Ramp and East Tamaki Rd On-Ramp NBD",,,
SH1S_38A,SH1S,38A,3.2,40,2,105,Class I,1,,,,,,4.8,1.142857143,-,-,-,1200,-,1200,3.657142857,http://g.co/maps/8fjtp,for closure between Highbrook Dr and East Tamaki Dr (1 lane on Baird Road),1040443.98,01N40443,"Jasmine Lau:
closure between d East Tamaki Dr and Highbrook Dr NBD",,,
SH1S_38B,SH1S,38B,6,40,2.7,105,Class I,1,,,,,,9,1.542857143,-,-,-,1200,-,1200,7.457142857,http://g.co/maps/a7sc8,for closure between Princes St and Highbrook Dr (1 lane RT from Princes to GSR),1040442.84,01N40442,"Jasmine Lau:
closure between Highbrook Dr and Princes St NBD ",,,
SH1S_39,SH1S,39,4.5,40,3.7,105,Class I,1,,,,,,6.75,2.114285714,-,-,-,1200,-,1200,4.635714286,http://g.co/maps/3dfrk,"1 lane along Princes, DIFFERENT from detour plan",1040441.29,01N40441,"Jasmine Lau:
closure between Princes St Off-Ramp and Princes St On-Ramp NBD",,,
SH1S_39A,SH1S,39A,3.5,40,2.4,105,Class I,1,,,,,,5.25,1.371428571,-,-,-,1200,-,1200,3.878571429,http://g.co/maps/f4rnk,1 lane on Ramp,1040438.89,01N40438,"Yi-Min Huang:
Mt Wellington IC NBD",,,
