Site,Cluster,Free SpeedM,ScM,NM,Free SpeedD,ScD,ND
01810011,C12,105,85,1.1,55,25,1.1
01810012,C12,105,85,1.1,55,25,1.1
01810014,C12,105,85,1.1,55,25,1.1
01820007,C12,105,85,1.1,55,25,1.1
01820009,C12,105,85,1.1,55,25,1.1
01820010,C12,105,85,1.1,55,25,1.1
01820011,C12,105,85,1.1,55,25,1.1
01820012,C12,105,85,1.1,55,25,1.1
01840006,C12,105,85,1.1,55,25,1.1
01840010,C12,105,85,1.1,55,25,1.1
01860008,C12,105,85,1.1,55,25,1.1
01860010,C12,105,85,1.1,55,25,1.1
01860012,C12,105,85,1.1,55,25,1.1
01860013,C12,105,85,1.1,55,25,1.1
01610012,C13,105,40,1.5,55,25,1.1
01610013,C13,105,40,1.5,55,25,1.1
01610014,C13,105,40,1.5,55,25,1.1
01610016,C13,105,40,1.5,55,25,1.1
01620012,C13,105,40,1.5,55,25,1.1
01620013,C13,105,40,1.5,55,25,1.1
01620014,C13,105,40,1.5,55,25,1.1
01640013,C13,105,40,1.5,55,25,1.1
01660013,C13,105,40,1.5,55,25,1.1
01660015,C13,105,40,1.5,55,25,1.1
01669017,C13,105,40,1.5,55,25,1.1
01820014,C13,105,40,1.5,55,25,1.1
01610009,C14,90,35,1.5,50,30,1.5
01610010,C14,90,35,1.5,50,30,1.5
01610011,C14,90,35,1.5,50,30,1.5
01620009,C14,90,35,1.5,50,30,1.5
01620010,C14,90,35,1.5,50,30,1.5
01620011,C14,90,35,1.5,50,30,1.5
01640008,C14,90,35,1.5,50,30,1.5
01640010,C14,90,35,1.5,50,30,1.5
01640011,C14,90,35,1.5,50,30,1.5
01660008,C14,90,35,1.5,50,30,1.5
01660009,C14,90,35,1.5,50,30,1.5
01660011,C14,90,35,1.5,50,30,1.5
01610004,C15,70,25,1.5,40,25,1.5
01610005,C15,70,25,1.5,40,25,1.5
01610006,C15,70,25,1.5,40,25,1.5
01610007,C15,70,25,1.5,40,25,1.5
01619004,C15,70,25,1.5,40,25,1.5
01619008,C15,70,25,1.5,40,25,1.5
01620004,C15,70,25,1.5,40,25,1.5
01620005,C15,70,25,1.5,40,25,1.5
01620006,C15,70,25,1.5,40,25,1.5
01620007,C15,70,25,1.5,40,25,1.5
01629008,C15,70,25,1.5,40,25,1.5
01640006,C15,70,25,1.5,40,25,1.5
01649004,C15,70,25,1.5,40,25,1.5
01660006,C15,70,25,1.5,40,25,1.5
02010014,C16,100,80,1.5,50,25,1.2
02010015,C16,100,80,1.5,50,25,1.2
02010016,C16,100,80,1.5,50,25,1.2
02010017,C16,100,80,1.5,50,25,1.2
02010018,C16,100,80,1.5,50,25,1.2
02010019,C16,100,80,1.5,50,25,1.2
02010020,C16,100,80,1.5,50,25,1.2
02019015,C16,100,80,1.5,50,25,1.2
02020014,C16,100,80,1.5,50,25,1.2
02020015,C16,100,80,1.5,50,25,1.2
02020016,C16,100,80,1.5,50,25,1.2
02020017,C16,100,80,1.5,50,25,1.2
02020018,C16,100,80,1.5,50,25,1.2
02020019,C16,100,80,1.5,50,25,1.2
02020020,C16,100,80,1.5,50,25,1.2
02029015,C16,100,80,1.5,50,25,1.2
02040014,C16,100,80,1.5,50,25,1.2
02040016,C16,100,80,1.5,50,25,1.2
02040018,C16,100,80,1.5,50,25,1.2
02040020,C16,100,80,1.5,50,25,1.2
02060014,C16,100,80,1.5,50,25,1.2
02060015,C16,100,80,1.5,50,25,1.2
02060016,C16,100,80,1.5,50,25,1.2
02060018,C16,100,80,1.5,50,25,1.2
02060020,C16,100,80,1.5,50,25,1.2
02010010,C17,100,80,1.4,50,25,1.5
02010011,C17,100,80,1.4,50,25,1.5
02010012,C17,100,80,1.4,50,25,1.5
02010013,C17,100,80,1.4,50,25,1.5
02020010,C17,100,80,1.4,50,25,1.5
02020011,C17,100,80,1.4,50,25,1.5
02020012,C17,100,80,1.4,50,25,1.5
02020013,C17,100,80,1.4,50,25,1.5
02040011,C17,100,80,1.4,50,25,1.5
02040012,C17,100,80,1.4,50,25,1.5
02060011,C17,100,80,1.4,50,25,1.5
20A10001,C17,100,80,1.4,50,25,1.5
20A10002,C17,100,80,1.4,50,25,1.5
20A10004,C17,100,80,1.4,50,25,1.5
20A19001,C17,100,80,1.4,50,25,1.5
20A20001,C17,100,80,1.4,50,25,1.5
20A20002,C17,100,80,1.4,50,25,1.5
20A20004,C17,100,80,1.4,50,25,1.5
20A29001,C17,100,80,1.4,50,25,1.5
02010000,C18,90,55,1.5,65,15,1.1
02010001,C18,90,55,1.5,65,15,1.1
02010002,C18,90,55,1.5,65,15,1.1
02010003,C18,90,55,1.5,65,15,1.1
02010004,C18,90,55,1.5,65,15,1.1
02010006,C18,90,55,1.5,65,15,1.1
02010007,C18,90,55,1.5,65,15,1.1
02010008,C18,90,55,1.5,65,15,1.1
02019000,C18,90,55,1.5,65,15,1.1
02020000,C18,90,55,1.5,65,15,1.1
02020001,C18,90,55,1.5,65,15,1.1
02020002,C18,90,55,1.5,65,15,1.1
02020003,C18,90,55,1.5,65,15,1.1
02020004,C18,90,55,1.5,65,15,1.1
02020006,C18,90,55,1.5,65,15,1.1
02020007,C18,90,55,1.5,65,15,1.1
02020008,C18,90,55,1.5,65,15,1.1
02029000,C18,90,55,1.5,65,15,1.1
02040000,C18,90,55,1.5,65,15,1.1
02040001,C18,90,55,1.5,65,15,1.1
02040004,C18,90,55,1.5,65,15,1.1
02040007,C18,90,55,1.5,65,15,1.1
02060001,C18,90,55,1.5,65,15,1.1
02060003,C18,90,55,1.5,65,15,1.1
02060007,C18,90,55,1.5,65,15,1.1
02060009,C18,90,55,1.5,65,15,1.1
20B00001,C18,90,55,1.5,65,15,1.1
01N10410,C2,100,35,1.5,65,25,1.1
01N10412,C2,100,35,1.5,65,25,1.1
01N10413,C2,100,35,1.5,65,25,1.1
01N19411,C2,100,35,1.5,65,25,1.1
01N20410,C2,100,35,1.5,65,25,1.1
01N20412,C2,100,35,1.5,65,25,1.1
01N20413,C2,100,35,1.5,65,25,1.1
