SH,Dir,Block ID,Ward,Comments,From,,To,,Closure  Resourcing Type,Cost (est.),Closure Type,ETA Shifts,Critical Asset Regular Maintenance,Detour Via,Site Block,Normal length ,Detour length,Mainline Time,Detour Time,Delay,Detour map
SH20,NB,20i2,Central,,Puhinui Rd,SH20 Puhinui Rd to Massey Rd NB,Massey Rd,SH20 Massey Rd Interchange NB,O,11319,Full Closure,1,,"Buckland Rd, Portage/Station Rd, Wyllie Road",SH20 Puhinui Rd to Massey Rd NB,3.2,5.3,3,8,5,Link to map - PLACEHOLDER
SH20,NB,20i3,Central,,Massey Rd,SH20 Massey Rd Interchange NB,Rimu Rd/Mahunga Dr,SH20 Coronation Rd/Walmsley Rd Interchange NB,Q,19041.75,Full Closure,1,,"Mahunga Dr, Walmsley Rd, Robertson Road",SH20 Massey Rd to Rimu Rd/Mahunga Dr NB,4.5,4.9,3,7,4,Link to map - PLACEHOLDER
SH20,NB,20i4,Central,,Rimu Rd/Mahunga Dr,SH20 Coronation Rd/Walmsley Rd Interchange NB,Neilson St,SH20 Neilson St Interchange NB,O,11319,Multi-Lane,1,,Only 1 lane stays open,SH20 Rimu Rd/Mahunga Dr to Neilson St NB,1.9,NA,2,,0,Link to map - PLACEHOLDER
SH20,NB,20i5,Central,,Neilson St,SH20 Neilson St Interchange NB,Hillsborough Rd,SH20 Hillsborough Rd Interchange NB,L,7615.44,Full Closure,NA,,"Mt Albert Rd, Queenstown Rd, Beachcroft Rd, Church St, Sylwyn St",SH20 Neilson St to Hillsborough Rd NB,2.2,4.6,2,8,6,Link to map - PLACEHOLDER
SH20,NB,20i6,Central,WVT,Hillsborough Rd,SH20 Hillsborough Rd Interchange NB,Maioro St/Waterview,SH20 Maioro St Interchange NB,O,11319,Full Closure,NA,Waterview NB,"Great North Road, Blockhouse Bay Rd, Tiverton/New Windsor Rd, Richardson Rd",SH20 Hillsborough Rd to Maioro St/Waterview NB,5.6,8.3,8,17,9,Link to map - PLACEHOLDER
,,,,,,,,,,,,,,,,,,,,0,Link to map - PLACEHOLDER
SH20A,WB,20Ai,Central,,Bader Dr/SH20,SH20A SH20 On Ramp to Kirkbride Rd Off Ramp WB,Landing Drive (Boundary),,L,7615.44,Full Closure,NA,,"Landing Dr, Airpark Dr, Richard Pearse Dr, Ascot Rd, Kirkbride Rd, McKenzie Rd",SH20A Bader Dr/SH20 to Landing Drive (Boundary) WB,3.1,5.6,3,9,6,Link to map - PLACEHOLDER
SH20A,EB,20Ad,Central,,Landing Drive (Boundary),SH20A East of Landing Dr EB,Bader Dr/SH20 Coronation Rd,,L,7615.44,Full Closure,NA,,"Landing Dr, Airpark Dr, Richard Pearse Dr, Ascot Rd, Kirkbride Rd, McKenzie Rd",SH20A Landing Drive (Boundary) to Bader Dr/SH20 Coronation Rd EB,3.1,5.6,3,9,6,Link to map - PLACEHOLDER
,,,,,,,,,,,,,,,,,,,,0,Link to map - PLACEHOLDER
SH20B,,20B,Central,,Tom Pearce Dr,#N/A,SH20 Interchange,,L,7615.44,Full Closure,NA,,"Tom Peace, George Bolt Memorial, Kirkbride Rd, Massey Rd",SH20B Tom Pearce Dr to SH20 Interchange ,8.9,NA,9,10,1,Link to map - PLACEHOLDER
,,,,,,,,,,,,,,,,,,,,0,Link to map - PLACEHOLDER
SH22,,22S,South,TMP Detailing!!,Pukekohe,#N/A,Gleenbrook RAB,,,,,,,TBC,SH22 Pukekohe to Gleenbrook RAB ,,NA,,,0,Link to map - PLACEHOLDER
SH22,,22N,South,TMP Detailing!!,Gleenbrook RAB,#N/A,Great Sth Rd,,,,,,,TBC,SH22 Gleenbrook RAB to Great Sth Rd ,,NA,,,0,Link to map - PLACEHOLDER
SH22,,22i,South,TMP Detailing!!,Great Sth Rd,#N/A,Hingaia Stream (Boundary),,,,,,,TBC,SH22 Great Sth Rd to Hingaia Stream (Boundary) ,,NA,,,0,Link to map - PLACEHOLDER
,,,,,,,,,,,,,,,,,,,,0,Link to map - PLACEHOLDER
SH2,,02A,South,TMP Detailing!!,Pokeno,#N/A,Mangatawhiri,,,,,,,TBC,SH2 Pokeno to Mangatawhiri ,,NA,,,0,Link to map - PLACEHOLDER
SH2,,02B,South,,Mangatawhiri,#N/A,Rawiri/Golf Course,,L,7615.44,Full Closure,1,,Mangatawhiri Rd (Old SH2),SH2 Mangatawhiri to Rawiri/Golf Course ,4.8,5.5,4,6,2,Link to map - PLACEHOLDER
SH2,,02C,South,TMP Detailing!!,Rawiri/Golf Course,#N/A,Kopuku Rd,,,,,,,TBC,SH2 Rawiri/Golf Course to Kopuku Rd ,,NA,,,0,Link to map - PLACEHOLDER
SH2,,02D,South,TMP Detailing!!,Kopuku Rd,#N/A,Okaeria Rd,,,,,,,TBC,SH2 Kopuku Rd to Okaeria Rd ,,NA,,,0,Link to map - PLACEHOLDER
SH2,,02E,South,TMP Detailing!!,Okaeria Rd,#N/A,SH25,,,,,,,TBC,SH2 Okaeria Rd to SH25 ,,NA,,,0,Link to map - PLACEHOLDER
